HEAD_ID	RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
pub_320835	dblp:inYear	year_55	0.4191
pub_272185	dblp:inYear	year_5	0.3661
pub_412172	dblp:hasAuthor	author_346154	0.1763
pub_113419	dblp:inYear	year_41	0.4011
author_540698	dblp:wrote	pub_445761	0.1815
pub_416424	dblp:hasAuthor	author_12181	0.2055
author_163082	dblp:wrote	pub_200236	0.1716
pub_33860	dblp:inYear	year_32	0.3653
author_421614	dblp:wrote	pub_39899	0.1986
pub_355866	dblp:publishedIn	venue_1677	0.2981
pub_105482	dblp:publishedIn	venue_1356	0.3797
pub_436731	dblp:hasAuthor	author_386800	0.1218
pub_393631	dblp:inYear	year_20	0.4010
pub_161053	dblp:publishedIn	venue_2437	0.3749
pub_341140	dblp:publishedIn	venue_1414	0.3292
pub_6260	dblp:inYear	year_56	0.4242
pub_218843	dblp:hasAuthor	author_530564	0.1983
pub_12682	dblp:hasAuthor	author_13410	0.1668
author_295197	dblp:wrote	pub_439150	0.1613
pub_300170	dblp:hasAuthor	author_610617	0.1792
author_213627	dblp:wrote	pub_327491	0.1781
pub_275056	dblp:publishedIn	venue_1071	0.3053
author_142053	dblp:wrote	pub_766	0.1839
pub_255389	dblp:hasAuthor	author_136017	0.1747
pub_286174	dblp:inYear	year_53	0.4531
pub_149863	dblp:hasAuthor	author_508743	0.1644
pub_458721	dblp:inYear	year_14	0.3616
author_151176	dblp:wrote	pub_54359	0.1683
pub_414024	dblp:hasAuthor	author_348582	0.1860
pub_423796	dblp:publishedIn	venue_2436	0.3016
pub_412277	dblp:inYear	year_25	0.3952
author_472102	dblp:wrote	pub_90974	0.1880
author_526906	dblp:wrote	pub_17392	0.1854
pub_129700	dblp:hasAuthor	author_132866	0.1749
author_262588	dblp:wrote	pub_21215	0.1955
author_550629	dblp:wrote	pub_327353	0.1839
author_588645	dblp:wrote	pub_237440	0.1745
pub_164320	dblp:hasAuthor	author_344346	0.1608
pub_218580	dblp:publishedIn	venue_2865	0.2691
pub_181221	dblp:hasAuthor	author_590480	0.1474
author_622349	dblp:wrote	pub_398522	0.2097
pub_415832	dblp:hasAuthor	author_50765	0.1314
author_189446	dblp:wrote	pub_83922	0.1319
author_341134	dblp:wrote	pub_300707	0.2305
pub_424590	dblp:hasAuthor	author_466950	0.1626
pub_65814	dblp:inYear	year_20	0.3866
author_408888	dblp:wrote	pub_270052	0.1761
author_48180	dblp:wrote	pub_233824	0.1716
pub_377003	dblp:publishedIn	venue_1340	0.3287
author_45075	dblp:wrote	pub_484528	0.1755
author_518026	dblp:wrote	pub_41365	0.1834
pub_479400	dblp:inYear	year_7	0.4676
author_8326	dblp:wrote	pub_126433	0.1808
pub_196488	dblp:publishedIn	venue_2346	0.3089
author_555185	dblp:wrote	pub_393754	0.1674
pub_459086	dblp:inYear	year_7	0.3421
pub_129399	dblp:publishedIn	venue_2853	0.3319
pub_396567	dblp:publishedIn	venue_1533	0.3275
pub_458766	dblp:hasAuthor	author_479374	0.2465
pub_464057	dblp:publishedIn	venue_688	0.2934
pub_270155	dblp:publishedIn	venue_1079	0.2558
pub_315290	dblp:inYear	year_42	0.4371
author_440832	dblp:wrote	pub_56323	0.2452
pub_217466	dblp:hasAuthor	author_387053	0.1752
pub_200381	dblp:publishedIn	venue_1371	0.2814
author_259634	dblp:wrote	pub_479231	0.2087
author_481149	dblp:wrote	pub_243876	0.1752
pub_73590	dblp:hasAuthor	author_541876	0.1509
author_484213	dblp:wrote	pub_152878	0.2036
pub_250736	dblp:publishedIn	venue_1266	0.3945
author_99752	dblp:wrote	pub_53	0.1648
pub_89794	dblp:publishedIn	venue_227	0.3389
pub_76926	dblp:publishedIn	venue_3007	0.3500
pub_302127	dblp:inYear	year_60	0.3886
pub_214186	dblp:publishedIn	venue_897	0.3053
pub_340575	dblp:hasAuthor	author_429053	0.1650
pub_99364	dblp:inYear	year_44	0.3747
pub_338250	dblp:inYear	year_45	0.3686
pub_427826	dblp:inYear	year_36	0.4008
pub_236844	dblp:hasAuthor	author_598652	0.1398
pub_393494	dblp:inYear	year_2	0.4323
pub_109980	dblp:publishedIn	venue_1332	0.2819
pub_26168	dblp:publishedIn	venue_1424	0.2920
pub_90859	dblp:hasAuthor	author_497488	0.1438
author_329108	dblp:wrote	pub_460215	0.1947
author_54890	dblp:wrote	pub_242101	0.2098
author_301421	dblp:wrote	pub_317139	0.1828
pub_121541	dblp:hasAuthor	author_104473	0.1858
pub_261105	dblp:hasAuthor	author_515602	0.1410
author_143064	dblp:wrote	pub_302366	0.2470
pub_450950	dblp:hasAuthor	author_344762	0.1928
pub_209716	dblp:inYear	year_1	0.3854
pub_397746	dblp:hasAuthor	author_633586	0.1168
pub_344514	dblp:publishedIn	venue_1511	0.3349
pub_486972	dblp:hasAuthor	author_352143	0.1458
pub_383232	dblp:hasAuthor	author_140918	0.1590
author_478266	dblp:wrote	pub_419245	0.1572
pub_442549	dblp:inYear	year_11	0.3842
pub_364666	dblp:inYear	year_5	0.4004
pub_352126	dblp:publishedIn	venue_2667	0.3633
pub_388479	dblp:inYear	year_11	0.3698
pub_125227	dblp:hasAuthor	author_455953	0.1515
pub_72714	dblp:hasAuthor	author_449790	0.2082
author_276440	dblp:wrote	pub_382720	0.1896
pub_476446	dblp:inYear	year_18	0.4196
pub_312348	dblp:hasAuthor	author_244087	0.1770
author_148893	dblp:wrote	pub_305788	0.1963
pub_82658	dblp:inYear	year_57	0.4008
pub_390456	dblp:hasAuthor	author_401469	0.2034
author_118993	dblp:wrote	pub_245921	0.1888
pub_131497	dblp:publishedIn	venue_2443	0.2423
author_138509	dblp:wrote	pub_127819	0.1919
pub_3330	dblp:publishedIn	venue_959	0.2292
author_614189	dblp:wrote	pub_116832	0.1869
pub_96902	dblp:publishedIn	venue_2744	0.2750
author_261038	dblp:wrote	pub_403962	0.2000
author_449093	dblp:wrote	pub_15909	0.2035
pub_249624	dblp:hasAuthor	author_272938	0.1716
pub_162545	dblp:publishedIn	venue_2693	0.3130
pub_479479	dblp:inYear	year_31	0.4196
pub_486733	dblp:publishedIn	venue_672	0.3027
pub_455801	dblp:hasAuthor	author_618489	0.1802
pub_426859	dblp:publishedIn	venue_800	0.2852
author_515140	dblp:wrote	pub_450284	0.1553
pub_145544	dblp:hasAuthor	author_574228	0.1521
author_476031	dblp:wrote	pub_433028	0.1568
pub_406592	dblp:publishedIn	venue_520	0.2996
pub_97013	dblp:publishedIn	venue_868	0.2998
author_532780	dblp:wrote	pub_59711	0.1753
pub_161230	dblp:inYear	year_8	0.3958
pub_334393	dblp:publishedIn	venue_1587	0.2917
pub_57436	dblp:hasAuthor	author_297121	0.1263
pub_365913	dblp:hasAuthor	author_392811	0.1703
pub_221433	dblp:hasAuthor	author_355693	0.1743
pub_1139	dblp:inYear	year_31	0.3869
author_381463	dblp:wrote	pub_361722	0.2282
author_22904	dblp:wrote	pub_418995	0.1659
author_602335	dblp:wrote	pub_380963	0.1723
pub_415882	dblp:publishedIn	venue_461	0.2951
pub_19243	dblp:hasAuthor	author_235007	0.1931
pub_248239	dblp:hasAuthor	author_191283	0.1591
pub_406332	dblp:publishedIn	venue_1942	0.2846
author_170444	dblp:wrote	pub_334672	0.1961
author_17882	dblp:wrote	pub_237350	0.1806
pub_161710	dblp:publishedIn	venue_1347	0.3645
pub_160624	dblp:hasAuthor	author_631664	0.1540
pub_129788	dblp:hasAuthor	author_336080	0.1942
pub_165295	dblp:publishedIn	venue_1459	0.2610
pub_356153	dblp:publishedIn	venue_665	0.2113
pub_80006	dblp:publishedIn	venue_275	0.3736
pub_213284	dblp:publishedIn	venue_1524	0.2991
author_501865	dblp:wrote	pub_465581	0.1826
author_311523	dblp:wrote	pub_427581	0.1796
pub_428440	dblp:hasAuthor	author_491912	0.2094
pub_372140	dblp:hasAuthor	author_571147	0.1460
pub_370882	dblp:hasAuthor	author_257132	0.1710
author_316371	dblp:wrote	pub_244382	0.1760
