HEAD_ID	RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
pub_347390	dblp:inYear	year_26	0.0658
pub_362537	dblp:hasAuthor	author_203736	0.0618
pub_236295	dblp:hasAuthor	author_95386	0.0751
pub_294050	dblp:publishedIn	venue_2107	0.0529
author_57965	dblp:wrote	pub_478642	0.0476
pub_16910	dblp:hasAuthor	author_236198	0.0393
author_136723	dblp:wrote	pub_74265	0.0595
pub_66772	dblp:publishedIn	venue_2726	0.0542
pub_437088	dblp:inYear	year_7	0.0715
pub_464597	dblp:hasAuthor	author_72275	0.0475
author_572079	dblp:wrote	pub_334817	0.0477
pub_308930	dblp:publishedIn	venue_2412	0.0577
pub_35143	dblp:hasAuthor	author_145924	0.0574
author_122792	dblp:wrote	pub_362235	0.0503
pub_181165	dblp:hasAuthor	author_28308	0.0424
author_9504	dblp:wrote	pub_21940	0.0454
author_501835	dblp:wrote	pub_20844	0.0430
author_461407	dblp:wrote	pub_401556	0.0537
pub_172408	dblp:inYear	year_59	0.0775
pub_43943	dblp:inYear	year_30	0.0711
pub_393602	dblp:inYear	year_6	0.0760
author_628590	dblp:wrote	pub_207720	0.0449
pub_88760	dblp:inYear	year_13	0.1004
pub_428517	dblp:publishedIn	venue_655	0.0513
pub_141550	dblp:inYear	year_16	0.0601
pub_172095	dblp:publishedIn	venue_303	0.0789
pub_99947	dblp:hasAuthor	author_543483	0.0464
pub_4528	dblp:inYear	year_0	0.0565
pub_305694	dblp:inYear	year_29	0.0970
pub_176214	dblp:inYear	year_26	0.1360
pub_149480	dblp:publishedIn	venue_448	0.0917
pub_390595	dblp:hasAuthor	author_250486	0.0477
pub_453384	dblp:hasAuthor	author_58721	0.0513
author_626285	dblp:wrote	pub_486238	0.0470
pub_224302	dblp:hasAuthor	author_214368	0.0374
author_181427	dblp:wrote	pub_134089	0.0528
author_630597	dblp:wrote	pub_24432	0.0517
pub_216121	dblp:publishedIn	venue_1216	0.0519
pub_318830	dblp:publishedIn	venue_1290	0.0616
author_85109	dblp:wrote	pub_386525	0.0562
pub_129293	dblp:publishedIn	venue_768	0.0546
pub_411539	dblp:inYear	year_4	0.0844
author_171279	dblp:wrote	pub_109673	0.0751
author_615479	dblp:wrote	pub_423229	0.0424
author_73262	dblp:wrote	pub_175522	0.0489
pub_59688	dblp:publishedIn	venue_663	0.0840
author_283348	dblp:wrote	pub_222011	0.0660
author_635156	dblp:wrote	pub_307924	0.0464
pub_168602	dblp:inYear	year_32	0.1199
pub_303096	dblp:inYear	year_45	0.0861
pub_155464	dblp:inYear	year_49	0.0503
